TransactionID,AccountID,TransactionAmount,TransactionDate,TransactionType,Location,DeviceID,IP Address,MerchantID,Channel,CustomerAge,CustomerOccupation,TransactionDuration,LoginAttempts,AccountBalance,PreviousTransactionDate,Cluster,PCA1,PCA2
0,126,4410.297491225294,684,1,36,365,186,14,0,1289.8799133265388,0,5785.579512246016,1.7271441635919087,19943581.72511176,105,2,-1292.5404681478653,478.0152259991978
1,450,110117.58278526244,1192,1,15,50,82,51,0,1254.3026005162992,0,9982.569290130537,1.7271441635919087,53667146.73106218,192,2,-937.5256510955746,839.4823270909061
2,18,37160.14537191277,1276,1,23,229,343,8,2,382.658436665429,3,4036.8337714607983,1.7271441635919087,4382465.568122234,41,2,-873.430456327057,897.0017239410878
3,68,54150.95326081488,823,1,33,182,300,1,2,507.1790315012676,3,1868.3890528871284,1.7271441635919087,33425870.423785206,163,2,-1192.8571521381919,574.9206633067562
4,406,4223.489089766831,1959,0,1,298,501,90,2,507.1790315012676,3,13969.709579120834,1.7271441635919087,28981007.285861902,16,2,-392.75564899577216,1382.7311359851997
5,388,27195.084706612677,639,1,28,562,60,53,0,364.86978026030926,3,12151.014008704207,1.7271441635919087,3053796.03054407,13,2,-1321.4617491672361,443.17747976976113
6,197,2364.161719000527,309,0,39,235,112,18,0,702.8542519575855,0,9842.66963086772,1.7271441635919087,51942493.343569696,226,2,-1553.9205211143558,207.8751758749226
7,67,50333.05655600746,842,0,16,483,571,19,1,1236.5139441111794,2,20475.043734841845,1.7271441635919087,10910914.366832765,271,2,-1175.635477408884,586.0373644829334
8,133,31304.869538698953,561,0,11,670,370,34,1,951.8954416292626,1,6135.328660403059,1.7271441635919087,35477669.731998794,290,2,-1372.9229682651526,385.18816452623963
9,380,238466.63011232033,614,1,26,194,393,6,0,1023.0500672497418,0,8513.622867870956,1.7271441635919087,3990615.894125467,9,2,-1337.1842317744308,424.45850198232387
10,148,5487.364680884282,520,0,0,200,337,72,2,969.6840980343824,1,4246.683260355025,1.7271441635919087,29644503.518969595,22,2,-1401.2624253135223,355.56037691346125
11,454,55762.17572339417,237,1,22,572,56,29,2,418.2357494756686,3,12220.963838335616,1.7271441635919087,5967727.024205897,49,2,-1600.9705393111644,153.98341000277088
12,387,144642.11047980533,1047,0,23,31,332,56,1,471.60171869102805,3,7884.074401188277,1.7271441635919087,6323461.161413472,135,2,-1031.09187704203,729.534422644683
13,260,228484.05615938347,2197,1,22,53,277,24,0,507.1790315012676,3,8723.472356765182,1.7271441635919087,744936.7839097917,43,0,-218.97566688602046,1544.0802340660193
14,83,49039.99215216214,286,1,21,299,251,16,2,364.86978026030926,3,9492.920482710677,1.7271441635919087,1174891.0793353296,226,2,-1563.343899940041,185.75131986869332
15,266,136156.92261980905,2380,1,10,451,361,24,0,685.0655955524657,1,9143.171334553634,1.7271441635919087,13521295.44383123,355,0,-88.22987828743726,1672.0067463801895
16,313,162529.01491945353,2054,0,2,651,464,47,1,382.658436665429,3,11171.716393864486,1.7271441635919087,4417216.046825442,72,0,-315.68499536885906,1440.4961952289552
17,354,144178.00835743197,2393,1,8,417,49,58,2,738.431564767825,1,16487.903445851545,1.7271441635919087,19934845.35336146,327,0,-78.54310243155169,1679.14479852329
18,238,5750.063995435245,356,0,0,513,579,53,1,1094.204692870221,2,7534.325253031234,1.7271441635919087,31005076.4141002,337,2,-1511.4521586355186,234.2070331137574
19,281,21161.75711575875,1061,0,8,38,70,38,2,364.86978026030926,3,11941.164519809981,1.7271441635919087,25623705.425872292,177,2,-1015.9720704799232,732.9544299381095
20,1,17612.39748804788,416,1,20,150,59,39,1,1307.6685697316586,2,2777.7368380954417,1.7271441635919087,22434539.72041638,181,2,-1467.5287143739831,272.87096156626905
21,13,25332.83845457358,1495,1,19,260,478,64,1,720.6429083627052,0,6624.9774678229205,1.7271441635919087,35676773.204254545,110,2,-705.5848561945984,1039.366238021623
22,93,15534.15402182244,1039,1,1,140,91,21,2,738.431564767825,1,8513.622867870956,1.7271441635919087,35008830.7819525,38,2,-1027.2639334238047,714.2919180946078
23,448,101244.18371598526,807,1,13,158,268,82,2,436.02440588078844,3,10052.519119761946,2.9322286691196755,5475097.061803872,41,2,-1192.0415979471572,551.4050370473227
24,237,42778.991822030715,439,1,33,35,63,27,2,418.2357494756686,3,6834.8269567171465,1.7271441635919087,7536178.76500215,46,2,-1449.9481216677718,287.91479888617073
25,39,2483.835851184864,1999,0,15,651,543,42,2,1200.9366313009398,2,19425.796290370712,1.7271441635919087,14180930.512638565,201,0,-346.66105953814895,1393.90560514759
26,436,72373.52904683378,711,1,24,45,467,28,0,453.81306228590825,3,11171.716393864486,4.137313174647442,2631291.0521020507,314,2,-1258.6614444469642,481.8634007450346
27,55,12066.523069749652,605,1,25,300,327,7,1,702.8542519575855,1,6764.877127085738,1.7271441635919087,10482988.157706408,335,2,-1329.486546860681,403.02248766165286
28,385,37498.73559955623,162,1,19,226,151,91,2,827.374846793424,0,13899.759749489425,1.7271441635919087,6916442.393965162,298,2,-1643.3057722356468,89.09040606575813
29,309,16692.9498871195,1772,1,11,288,397,42,1,524.9676879063875,3,19915.445097790573,1.7271441635919087,5276929.629378513,127,2,-506.69710013931535,1231.4812548951197
30,362,8560.946661130612,1310,0,24,570,404,90,2,1094.204692870221,0,1518.639904730085,1.7271441635919087,32510930.49123916,174,2,-830.9598129107834,902.7241557061334
31,287,17554.019862592115,226,1,3,274,248,52,0,560.545000716627,0,18096.749527373948,1.7271441635919087,38318940.63382664,35,2,-1594.2766299878786,132.40916343312932
32,58,116016.64183756808,1802,1,27,601,92,6,0,916.318128819023,1,11871.214690178573,2.9322286691196755,37798307.479832135,289,2,-481.576782772411,1247.5971734117704
33,354,256519.91078451744,509,1,20,109,93,93,2,436.02440588078844,3,10612.117756813217,1.7271441635919087,1561280.5209881566,87,2,-1394.8129174647452,331.77288411643235
34,360,74804.95714706663,2041,0,37,345,571,1,1,845.1635031985438,0,3617.134793672346,1.7271441635919087,57789466.14409714,267,0,-314.07507695267395,1419.6050718652173
35,263,36713.55653717612,1944,1,39,41,479,1,1,916.318128819023,1,3267.3856455153027,1.7271441635919087,22488479.015642565,0,2,-381.3393731574024,1349.9030765781356
36,399,23102.813162163136,2214,1,25,244,397,27,1,507.1790315012676,3,10262.368608656174,1.7271441635919087,3517642.768161619,354,0,-191.85029799898643,1540.5699940527288
37,200,189814.71705748086,442,1,38,433,517,73,0,1378.8231953521376,2,9702.769971604903,1.7271441635919087,19021777.50047619,291,2,-1437.3153183400327,281.56899710517683
38,473,232439.14028401196,1924,1,23,76,450,47,0,1218.7252877060596,0,6415.127978928695,2.329686416355792,30874459.85610128,293,2,-395.56369550456225,1334.256799141534
39,400,98264.00593646815,163,1,28,37,449,39,2,1023.0500672497418,2,15228.806512486191,1.7271441635919087,3980904.480885178,69,2,-1634.4934878497106,83.77843418417812
40,416,96174.08694515158,1408,1,35,540,482,13,0,1165.3593184907002,2,8443.673038239547,1.7271441635919087,16868105.85738856,68,2,-754.8547122326323,965.9852671722174
41,475,10227.627867892865,53,1,30,607,25,45,2,720.6429083627052,0,1448.6900750986763,1.7271441635919087,55443945.33743928,321,2,-1710.310697710823,1.9878804430092671
42,118,70765.22546552728,739,0,5,193,488,43,2,1058.6273800599815,0,8233.82354934532,1.7271441635919087,52099709.03341552,160,2,-1224.4303274466706,488.76199618325865
43,115,16444.844978932466,688,1,40,192,219,8,0,382.658436665429,3,8303.773378976728,1.7271441635919087,948135.430423494,100,2,-1259.715631832421,450.9068634688917
44,10,89122.06979009444,1373,1,21,665,523,4,1,524.9676879063875,3,2427.987689938398,1.7271441635919087,3392837.457443031,210,2,-774.0708620300043,936.0696571121537
45,396,127347.7389385332,1874,1,6,288,286,50,1,1361.034538947018,2,6415.127978928695,1.7271441635919087,18231681.88030833,288,2,-424.710278424883,1292.4851953496866
46,278,48310.27183396501,2385,1,3,101,43,69,1,507.1790315012676,3,5365.880534457564,1.7271441635919087,5891517.78134836,250,0,-63.98477162098493,1653.1668494597368
47,434,149230.59184062894,1889,1,28,382,245,89,2,382.658436665429,3,7464.375423399825,1.7271441635919087,3053874.033863267,311,2,-412.73400399009824,1301.5725769877104
48,292,183282.26076898008,2257,1,10,276,574,22,2,507.1790315012676,3,9772.719801236311,1.7271441635919087,1040647.3669936481,61,0,-151.03033986591663,1562.929077597519
49,466,6722.0514592738255,582,0,34,294,76,54,2,774.0088775780646,1,12360.863497598433,1.7271441635919087,5212186.874443247,8,2,-1331.8363242634239,372.6211036312601
50,157,124449.28983465418,287,0,18,641,109,39,2,1272.091256921419,2,8583.572697502364,1.7271441635919087,15245168.798131723,44,2,-1535.8315510137256,160.5318030382998
51,477,124221.61709537669,358,1,29,580,231,14,2,951.8954416292626,1,18586.39833479381,1.7271441635919087,20222989.614483003,159,2,-1487.6685247947248,212.36242043520065
52,113,25233.596491298777,1043,1,41,229,278,77,1,1236.5139441111794,0,10262.368608656174,1.7271441635919087,58136697.91951201,22,2,-1002.698127330633,696.6504092307034
53,53,49772.631351632066,1684,1,36,427,428,35,1,542.7563443115073,3,10052.519119761946,1.7271441635919087,3588898.8002500143,155,2,-549.5898632662199,1150.6806408393156
54,414,30837.848535052777,607,1,29,622,245,94,0,1147.5706620855804,2,6415.127978928695,1.7271441635919087,17469199.43513696,258,2,-1309.8434360772171,386.46896819454736
55,369,92811.53571889916,1431,1,23,12,540,51,1,489.3903750961478,3,5925.479171508833,1.7271441635919087,5169051.038926133,172,2,-729.8989986006331,972.4334726867147
56,267,17968.501003328085,2392,0,8,447,0,94,1,1058.6273800599815,2,3757.0344529351632,1.7271441635919087,13791927.959792566,214,0,-50.5436988757383,1650.3360285795452
57,451,85692.3842945679,449,0,9,301,293,74,1,1254.3026005162992,2,4386.582919617842,1.7271441635919087,18095527.08664627,86,2,-1419.7905401459755,273.2623675487089
58,141,113118.19273368905,1065,1,16,143,246,63,1,898.5294724139032,1,2078.2385417813543,1.7271441635919087,21965427.758752882,46,2,-983.5523553735472,708.1798568804243
59,422,33009.49620200746,1852,1,18,87,290,63,1,453.81306228590825,3,3687.0846233037546,1.7271441635919087,3633438.6955127106,313,2,-431.24822656745596,1267.4492979216677
60,433,166241.83189844055,1884,1,16,227,376,93,0,862.9521596036636,1,10752.017416076034,1.7271441635919087,21455676.067786653,2,2,-406.3681865665469,1289.8426291389335
61,1,77353.14049821103,891,1,9,277,511,86,1,1449.9778209726169,2,15998.254638431687,2.329686416355792,16288385.189100722,279,2,-1103.1728604363307,582.4608956929187
62,420,102353.35859964491,2115,1,19,499,566,96,2,898.5294724139032,1,15928.304808800278,1.7271441635919087,25947536.205527425,106,0,-241.29883434176054,1452.499038222906
63,321,175839.1135233693,994,0,30,531,77,0,1,1040.8387236548617,1,7394.425593768416,1.7271441635919087,32993849.0404009,98,2,-1030.166831267972,653.9621238239732
64,429,1981.7882722652269,2081,1,5,446,156,70,2,934.1067852241428,0,8793.42218639659,1.7271441635919087,54561103.77074367,308,0,-265.21688043041013,1425.387981038283
65,238,59063.430442918005,606,0,26,96,126,2,1,791.7975339831844,1,13130.31162354393,1.7271441635919087,10087316.321068885,317,2,-1303.8744360470657,377.4844158617747
66,315,87402.84872042199,761,1,16,420,571,4,1,1040.8387236548617,2,15858.35497916887,1.7271441635919087,11763139.630742723,229,2,-1192.5232887230563,488.4219474179707
67,455,152388.8213777861,725,1,0,295,88,62,1,489.3903750961478,3,9073.221504922225,1.7271441635919087,7615976.160542848,346,2,-1219.4035955787967,461.12164896414015
68,456,34530.23334513029,262,0,2,126,440,56,2,1111.9933492753407,1,1238.8405862044501,1.7271441635919087,14302225.673993193,48,2,-1544.1295934648886,133.71574662505952
69,390,55499.47640884319,2147,0,16,664,78,39,1,613.9109699319864,1,7324.475764137007,1.7271441635919087,3815615.4475022494,139,0,-213.62916774334326,1468.0148949253519
70,215,39279.25317595725,1314,1,1,196,422,90,0,827.374846793424,1,15508.605831011826,1.7271441635919087,15006244.631424828,235,2,-800.3570398115544,877.220082741523
71,51,42098.892485470984,92,1,9,395,501,65,2,667.2769391473458,1,9562.870312342086,1.7271441635919087,24867970.26781164,183,2,-1658.6072524460549,8.558203103039666
72,278,7527.662690563461,1236,1,4,176,566,69,0,1147.5706620855804,2,3966.8839418293896,1.7271441635919087,22883526.825726498,351,2,-854.6421821992717,821.2909009802323
73,108,68576.06451093587,1996,0,17,286,150,45,2,507.1790315012676,3,19705.595608896347,1.7271441635919087,25502917.286092456,142,0,-316.66560747442895,1357.4400299658462
74,261,354214.86698474997,1869,1,16,225,277,35,1,400.4470930705488,3,1798.4392232557198,1.7271441635919087,2368419.8664010228,28,2,-406.1180174480221,1268.0859264766364
